odtItemId,odtId,odtOrdenId,odtDescripcion,productoId,codigoInterno,nombre,cantidad,estado,obs
1117,2459,4487,OT #8382 — CONVENIO MARCO - 30 DIAS HABILES,84,MK-85,PISCINA PLEGABLE CON ACCESO EXTERIOR,1,Pendiente,
1119,2497,4494,OT #8480 — No hay,6912,MK-425, CUBO PSICOMOTRICIDAD MEDIDAS 50 X 50 X 50 CMS,5,Pendiente,50x50x50
1120,2497,4494,OT #8480 — No hay,173,MK-20B,CILINDRO 120x30 CM,2,Pendiente,120x30
1121,2497,4494,OT #8480 — No hay,165,MK-15,ESCALA TRIPLE,2,Pendiente,50x50x25
1122,2497,4494,OT #8480 — No hay,84,MK-85,PISCINA PLEGABLE CON ACCESO EXTERIOR,1,Pendiente,
1123,2497,4494,OT #8480 — No hay,4100,MK-245,PUFF DE SALTO CIRCULAR,2,Pendiente,
1124,2497,4494,OT #8480 — No hay,2590,MK-209,RAMPA - CUÃ‘A,2,Pendiente,50x50x25
1125,2497,4494,OT #8480 — No hay,3915,MK-236,RAMPA ONDULADA,2,Pendiente,70x50x25
1126,2497,4494,OT #8480 — No hay,6906,MK-421,RECTÃNGULO PARALELEPÃPEDO - PRISMA,5,Pendiente,120x25x25 rectangular
1127,2497,4494,OT #8480 — No hay,982,MK-32,RULO,2,Pendiente,
1128,2497,4494,OT #8480 — No hay,2962,MK-191,TOBOGAN,2,Pendiente,95x93x50
1129,2497,4494,OT #8480 — No hay,109,MK-07,TUNEL DE ARRASTRE,6,Pendiente,
1131,2453,4501,OT #8369,6965,MK-218,Puff Pera Medida Especial,4,Pendiente,
1132,2448,4514,OT #8361 — CONVENIO MARCO - 40 DIAS HABILES,1028,MK-67,PLATO EQUILIBRIO ,1,Pendiente,
1133,2448,4514,OT #8361 — CONVENIO MARCO - 40 DIAS HABILES,1023,MK-61,VESTIBULADOR FLEXOR,2,Pendiente,
1137,2488,4533,OT #8450 — No hay,111,MK-08,SET FIGURAS GEOMETRICAS,1,Pendiente,
1138,2494,4534,OT #8476 — No hay,6911,MK-424,OLA DOBLE ,1,Pendiente,
1146,2492,4521,OT #8474 — COMPRA AGIL,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1524,2949,5262,OT #10317 — 1 de color azul elÃ©ctrico 1 color verde del que sale en la piscina 1 morada o lila 1 roja,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,
1158,2483,4553,OT #8434 — CONVENIO MARCO -,926,MK-81,CIRCUITO  MULTIFUNCIONAL,1,Pendiente,
1159,2483,4553,OT #8434 — CONVENIO MARCO -,1027,MK-66,MODULOS ESPALDERAS ,1,Pendiente,
1160,2483,4553,OT #8434 — CONVENIO MARCO -,0,MK-245-B,POUF DE SALTO CIRCULAR MEDIO,1,Pendiente,
1161,2483,4553,OT #8434 — CONVENIO MARCO -,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1165,2476,4566,OT #8422 — CONVENIO MARCO -,537,MK-299, PLASTIMAR PARACAIDAS UNIDAD  EDUCACIÃ“N FÃSICA,1,Pendiente,
1166,2480,4557,OT #8429 — CONVENIO - 30 DIAS HABILES,0,MK-209_5,RAMPA - CUÃ‘A 50*50*25 ,5,Pendiente,
1167,2479,4561,OT #8427 — CONVENIO MARCO - 15 DIAS HABILES,910,MK-01B,PISCINA SENSORIAL REDONDA.,1,Pendiente,
1169,2479,4561,OT #8427 — CONVENIO MARCO - 15 DIAS HABILES,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1170,2524,4562,OT #8560 — No hay,116,MK-10,CENTRO DE ESTIMULACION MOTRIZ,1,Pendiente,
1171,2478,4563,OT #8425 — CONVENIO MARCO -30 DIAS HABILES,6965,MK-218,Puff Pera Preescolar,1,Pendiente,
1172,2531,4578,OT #8538 — No hay,111,MK-08,SET FIGURAS GEOMETRICAS,2,Pendiente,DIMENSIONES: 10 PIEZAS. - 1 RAMPA 40X40X20 CM. - 2 CUADRADOS 40X40X20 CM. - 4 CUBOS 20X20 CM. - 2 CILINDROS 40X20 CM. - 1 RECTÃNGULO 40X20X10 CMTIPO DE MATERIAL: CUEROTEX .
1173,2531,4578,OT #8538 — No hay,1320,MK-20A,CILINDRO 150x30 CM,1,Pendiente,"MIDE 1.50CMS X 30CMSTAPIZ CUEROTEX.  CILINDRO 1,50 X 30 CM"
1175,2471,4581,OT #8410 — No hay,1230,MK-03,CENTRO PSICOMOTRIZ SALA CUNA,1,Pendiente,
1184,2535,4604,OT #8576 — No hay,111,MK-08,SET FIGURAS GEOMETRICAS,1,Pendiente, 10 PIEZAS. - 1 RAMPA 40X40X20 CM. - 2 CUADRADOS 40X40X20 CM. - 4 CUBOS 20X20 CM. - 2 CILINDROS 40X20 CM. - 1 RECTÃNGULO 40X20X10 CMTIPO DE MATERIAL: CUEROTEX
1185,2502,4608,OT #8495 — No hay,3421,MK-122,ESCALERA 5 PELDAÃ‘OS,1,Pendiente,
1187,2502,4608,OT #8495 — No hay,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,
1188,2541,4614,"OT #8587 — CADA SET LLEVA: 01 SET DE  PALITROQUES DE MADERA (6 PALITROQUES DE 50X12 CMS + 2 PELOTAS 15 CMS APROX.), 01 RANA TRAGA PELOTAS (60X40 CMS), 01 SET DE CUERDAS PARA SALTAR (6 CUERDAS DE 1.90 METROS DE LARGO), 01 CUBO LANZAMIENTO DE MADERA DE 30X18X14 CM + 3 PELOTAS), 01 SET DE PIRINOLA (6 PIRINOLA DE  6 CMS DE DIAMETRO), 01 LUCHE (50X70 CMS), 01 SET DE PESCA (INCLUYE 2 CAÃ‘AS DE MADERA Y  11 PIEZAS DE MADERA CON IMAN PARA PESCAR) Y 01 SET TROMPOS (6 TROMPOS DE 15 CM DE LARGO).",111,MK-08,SET FIGURAS GEOMETRICAS,1,Pendiente, 10 PIEZAS. - 1 RAMPA 40X40X20 CM. - 2 CUADRADOS 40X40X20 CM. - 4 CUBOS 20X20 CM. - 2 CILINDROS 40X20 CM. - 1 RECTÃNGULO 40X20X10 CM.TIPO DE MATERIAL: CUEROTEX
1192,2574,4618,OT #8665 — No hay,111,MK-08,SET FIGURAS GEOMETRICAS,1,Pendiente,FIGURAS GEOMETRICAS GIGANTE PLASTIMAR COD MK-08
1194,2644,4637,OT #8854 — No hay,7380,MK-427,CILINDRO GRANDE 120X25 CMS ,150,Pendiente,
1196,2504,4639,OT #8500 — No hay,62,MK-02,PISCINA SENSORIAL RECTANGULAR,1,Pendiente,"ESPACIO CERRADO, EN UN ENTORNO SEGURO. TRABAJO MOTRIZ Y DESARROLLO SENSORIAL. CON REVESTIMIENTO INTERIOR EN TODO SU CONTORNO. DIMENSIONES:100 X 190 X 70 CMSTIPO DE MATERIAL: CUEROTEX ."
