decision_cliente,accion_requerida,codigo_normalizado,ejemplo_codigo_original,filas,pagos,cantidad_total,total_estimado,primera_fecha_doc,ultima_fecha_doc,muestras_pago_id,producto_destino_aprobado,comentario_cliente
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BISTREST,BISTREST,1,1,5,4280,2021-03-15 00:00:00,2021-03-15 00:00:00,4800,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BISTRETCH,BISTRETCH,1,1,87,60030,2020-09-22 00:00:00,2020-09-22 00:00:00,4077,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BOLIBEI001,BOLIBEI001,1,1,50,2950,2024-05-29 00:00:00,2024-05-29 00:00:00,11709,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BOLSAS,BOLSAS,1,1,1,22194,2022-09-28 00:00:00,2022-09-28 00:00:00,7595,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BROCA,BROCA,1,1,1,10840,2024-06-06 00:00:00,2024-06-06 00:00:00,11751,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BROCACOPA,brocacopa,1,1,1,22857,2022-09-26 00:00:00,2022-09-26 00:00:00,7452,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BROTHERD60,BROTHERD60,1,1,4,26892,2024-04-03 00:00:00,2024-04-03 00:00:00,11262,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BRS0316,BRS0316,1,1,2,29980,2022-05-23 00:00:00,2022-05-23 00:00:00,6856,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BSTAR0193,bstar0193,1,1,4,3920,2022-12-06 00:00:00,2022-12-06 00:00:00,8151,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BURBUJAROLLO,BURBUJAROLLO,1,1,1,38000,2024-09-04 00:00:00,2024-09-04 00:00:00,12244,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BYM-MALETA,BYM-MALETA,1,1,1,24990,2021-05-17 00:00:00,2021-05-17 00:00:00,5022,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CADENA,cadena,1,1,4,65880,2022-12-15 00:00:00,2022-12-15 00:00:00,8088,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CAJAS644,CAJAS644,1,1,20,37000,2021-05-13 00:00:00,2021-05-13 00:00:00,4989,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CARTON,carton,1,1,51,64770,2021-08-16 00:00:00,2021-08-16 00:00:00,5328,"",""
